,Code5,Level1,Level2,Level3,Level4,Level5,Drug,ATC_5,ATC_4,ATC_3,ATC_2,ATC_1,covid
1,A01AA01,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,sodium fluoride,sodium fluoride,A01AA,A01A,A01,A0,A,No
2,A01AA02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,sodium monofluorophosphate,sodium monofluorophosphate,A01AA,A01A,A01,A0,A,No
3,A01AA03,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,olaflur,olaflur,A01AA,A01A,A01,A0,A,No
4,A01AA04,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,stannous fluoride,stannous fluoride,A01AA,A01A,A01,A0,A,No
5,A01AA30,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,combinations,combinations,A01AA,A01A,A01,A0,A,No
6,A01AA51,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,"sodium fluoride, combinations","sodium fluoride, combinations",A01AA,A01A,A01,A0,A,No
7,A01AB02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,hydrogen peroxide,hydrogen peroxide,A01AB,A01A,A01,A0,A,No
8,A01AB03,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,chlorhexidine,chlorhexidine,A01AB,A01A,A01,A0,A,Yes
9,A01AB04,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,amphotericin B,amphotericin B,A01AB,A01A,A01,A0,A,No
10,A01AB05,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,polynoxylin,polynoxylin,A01AB,A01A,A01,A0,A,No
11,A01AB06,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,domiphen,domiphen,A01AB,A01A,A01,A0,A,No
12,A01AB07,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,oxyquinoline,oxyquinoline,A01AB,A01A,A01,A0,A,Yes
13,A01AB08,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,neomycin,neomycin,A01AB,A01A,A01,A0,A,Yes
14,A01AB09,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,miconazole,miconazole,A01AB,A01A,A01,A0,A,No
15,A01AB10,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,natamycin,natamycin,A01AB,A01A,A01,A0,A,No
16,A01AB11,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,various,various,A01AB,A01A,A01,A0,A,Yes
17,A01AB12,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,hexetidine,hexetidine,A01AB,A01A,A01,A0,A,No
18,A01AB13,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,tetracycline,tetracycline,A01AB,A01A,A01,A0,A,Yes
19,A01AB14,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,benzoxonium chloride,benzoxonium chloride,A01AB,A01A,A01,A0,A,No
20,A01AB15,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,tibezonium iodide,tibezonium iodide,A01AB,A01A,A01,A0,A,No
21,A01AB16,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,mepartricin,mepartricin,A01AB,A01A,A01,A0,A,No
22,A01AB17,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,metronidazole,metronidazole,A01AB,A01A,A01,A0,A,Yes
23,A01AB18,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,clotrimazole,clotrimazole,A01AB,A01A,A01,A0,A,No
24,A01AB19,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,sodium perborate,sodium perborate,A01AB,A01A,A01,A0,A,No
25,A01AB21,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,chlortetracycline,chlortetracycline,A01AB,A01A,A01,A0,A,Yes
26,A01AB22,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,doxycycline,doxycycline,A01AB,A01A,A01,A0,A,Yes
27,A01AB23,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,minocycline,minocycline,A01AB,A01A,A01,A0,A,Yes
28,A01AC01,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment,triamcinolone,triamcinolone,A01AC,A01A,A01,A0,A,Yes
29,A01AC02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment,dexamethasone,dexamethasone,A01AC,A01A,A01,A0,A,Yes
30,A01AC03,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment,hydrocortisone,hydrocortisone,A01AC,A01A,A01,A0,A,Yes
31,A01AC54,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment,"prednisolone, combinations","prednisolone, combinations",A01AC,A01A,A01,A0,A,No
32,A01AD01,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,epinephrine,epinephrine,A01AD,A01A,A01,A0,A,Yes
33,A01AD02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,benzydamine,benzydamine,A01AD,A01A,A01,A0,A,Yes
34,A01AD05,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,acetylsalicylic acid,acetylsalicylic acid,A01AD,A01A,A01,A0,A,Yes
35,A01AD06,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,adrenalone,adrenalone,A01AD,A01A,A01,A0,A,Yes
36,A01AD07,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,amlexanox,amlexanox,A01AD,A01A,A01,A0,A,Yes
37,A01AD08,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment,becaplermin,becaplermin,A01AD,A01A,A01,A0,A,No
38,A02AA01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds,magnesium carbonate,magnesium carbonate,A02AA,A02A,A02,A0,A,No
39,A02AA02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds,magnesium oxide,magnesium oxide,A02AA,A02A,A02,A0,A,No
40,A02AA03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds,magnesium peroxide,magnesium peroxide,A02AA,A02A,A02,A0,A,No
41,A02AA04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds,magnesium hydroxide,magnesium hydroxide,A02AA,A02A,A02,A0,A,No
42,A02AA05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds,magnesium silicate,magnesium silicate,A02AA,A02A,A02,A0,A,No
43,A02AB01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds,aluminium hydroxide,aluminium hydroxide,A02AB,A02A,A02,A0,A,No
44,A02AB02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds,algeldrate,algeldrate,A02AB,A02A,A02,A0,A,No
45,A02AB03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds,aluminium phosphate,aluminium phosphate,A02AB,A02A,A02,A0,A,No
46,A02AB04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds,dihydroxialumini sodium carbonate,dihydroxialumini sodium carbonate,A02AB,A02A,A02,A0,A,No
47,A02AB05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds,aluminium acetoacetate,aluminium acetoacetate,A02AB,A02A,A02,A0,A,No
48,A02AB06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds,aloglutamol,aloglutamol,A02AB,A02A,A02,A0,A,No
49,A02AB07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds,aluminium glycinate,aluminium glycinate,A02AB,A02A,A02,A0,A,No
50,A02AC01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Calcium compounds,calcium carbonate,calcium carbonate,A02AC,A02A,A02,A0,A,No
51,A02AC02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Calcium compounds,calcium silicate,calcium silicate,A02AC,A02A,A02,A0,A,No
52,A02AD01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds",ordinary salt combinations,ordinary salt combinations,A02AD,A02A,A02,A0,A,No
53,A02AD02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds",magaldrate,magaldrate,A02AD,A02A,A02,A0,A,No
54,A02AD03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds",almagate,almagate,A02AD,A02A,A02,A0,A,No
55,A02AD04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds",hydrotalcite,hydrotalcite,A02AD,A02A,A02,A0,A,No
56,A02AD05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds",almasilate,almasilate,A02AD,A02A,A02,A0,A,No
57,A02AF01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Antacids with antiflatulents,magaldrate and antiflatulents,magaldrate and antiflatulents,A02AF,A02A,A02,A0,A,No
58,A02AF02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Antacids with antiflatulents,ordinary salt combinations and antiflatulents,ordinary salt combinations and antiflatulents,A02AF,A02A,A02,A0,A,No
59,A02BA01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,cimetidine,cimetidine,A02BA,A02B,A02,A0,A,No
60,A02BA02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,ranitidine,ranitidine,A02BA,A02B,A02,A0,A,No
61,A02BA03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,famotidine,famotidine,A02BA,A02B,A02,A0,A,No
62,A02BA04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,nizatidine,nizatidine,A02BA,A02B,A02,A0,A,No
63,A02BA05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,niperotidine,niperotidine,A02BA,A02B,A02,A0,A,No
64,A02BA06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,roxatidine,roxatidine,A02BA,A02B,A02,A0,A,No
65,A02BA07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,ranitidine bismuth citrate,ranitidine bismuth citrate,A02BA,A02B,A02,A0,A,No
